animal_code	chicken_body_weight	crp_pg_ml	pit54_ng_ml	lps_ng_l	cor_pg_mg
CA01.01	146	1.8	19.72	8.02	9.37
CA01.02	173	2.93	26.31	8.59	9.1
CA01.03	176	0	23.49	7.85	8
CA01.04	201.6	0.2	16.15	9.75	7.66
CA01.05	202.4	0.17	59.79	7.17	8.21
CA01.06	239.4	1.01	55.11	8.66	9.02
CA01.07	920.8	0	54.59	11.12	9.27
CA01.08	963.4	0	78.35	8.2	19.48
CA01.09	995.4	0	31.75	7.09	11.6
CA01.10	1095.2	0	101.77	6.65	9.58
CA01.11	1100	0.47	80.34	6.65	7.68
CA01.12	1045.4	0	38.75	8.32	8.53
CA01.13	2766.4	0.76	62.04	15.67	18.34
CA01.14	2729.2	0.64	46.83	14	26.3
CA01.15	2519.8	0.66	48.42	14.66	16.65
CA01.16	2350.4	0.51	53.95	15.17	15.49
CA01.17	2749.6	0.67	45.6	14.25	18.97
CA01.18	2844.8	0.67	51.23	16.45	17.86
CA02.01	136	1.04	18.95	8.76	7.66
CA02.02	183.2	0.51	18.4	5.84	7.89
CA02.03	156.6	0	21.79	9.51	6.96
CA02.04	239.6	0.65	17.68	7.34	8.88
CA02.05	216	0.43	36.64	7.58	6.48
CA02.06	226.2	0	27.15	7.34	6.85
CA02.07	723	0	40.06	7.98	7.57
CA02.08	695.2	0	39.76	7.31	9.88
CA02.09	898.6	0	31.76	10.45	7
CA02.10	891.6	0.1	39.11	12.94	8.88
CA02.11	883.2	0	31.87	7.87	9.29
CA02.12	998.2	0	40.16	6.76	6.5
CA02.13	2191.6	0.87	51.88	15.67	22.86
CA02.14	2221.8	0.73	45.84	14.75	10.96
CA02.15	2366.8	0.62	93.19	15.33	7.74
CA02.16	2204.4	0.58	47.26	15	8.55
CA02.17	2009.2	0.65	109.31	16.19	8.98
CA02.18	2431.6	0.66	46.19	16.45	8.08
CA03.01	166.8	25.84	15.47	8.66	9.35
CA03.02	192.8	0.1	22.6	8.63	6.6
CA03.03	157.4	1.34	40.81	5.61	7.48
CA03.04	243.8	0.76	15.66	13.49	14.23
CA03.05	210.8	0.06	423.68	10.03	8.82
CA03.06	201.4	4.35	29.3	6.37	7.78
CA03.07	920.2	0	34.19	7.53	6.64
CA03.08	964.4	0	32.41	7.98	7.36
CA03.09	1018	0	33.68	11.35	7.47
CA03.10	1082	0	34.14	6.42	9.15
CA03.11	930.2	0	38.49	12.48	6.07
CA03.12	1049.4	0.31	45.86	5.76	6.92
CA03.13	1966.6	0.46	52.35	14.91	8.88
CA03.14	2164	0.52	53.65	15.76	9.19
CA03.15	2256.8	0.66	45.54	17.49	8.71
CA03.16	2517.2	0.77	46.06	15.59	9
CA03.17	1949.8	0.24	0	15.06	8.67
CA03.18	2508	0.22	0	9.43	5.8
CA04.01	170.8	0	336.6	8.59	6.02
CA04.02	194.4	0	47.41	9.17	7.9
CA04.03	163.4	0	16.54	8.93	8.11
CA04.04	219.4	0.06	1024.37	6.67	9.33
CA04.05	197.8	0.21	252.35	9.82	11.88
CA04.06	194	0.69	15.16	10.13	10.44
CA04.07	963	0	31.83	6.98	5.99
CA04.08	1032.6	0	30.84	6.87	9.98
CA04.09	823.2	0	390.51	6.42	6.92
CA04.10	1101.4	0	87.39	10.79	8.55
CA04.11	958	0	32.74	7.98	9.15
CA04.12	908.8	0	48.61	8.2	9.35
