animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed
CA01.01	CA	CA01	7	7	2019-02-11	146	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.02	CA	CA01	7	7	2019-02-11	173	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.03	CA	CA01	7	7	2019-02-11	176	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.04	CA	CA01	8	7	2019-02-12	201.6	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.05	CA	CA01	8	7	2019-02-12	202.4	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.06	CA	CA01	8	7	2019-02-12	239.4	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.07	CA	CA01	21	21	2019-02-25	920.8	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.08	CA	CA01	21	21	2019-02-25	963.4	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.09	CA	CA01	21	21	2019-02-25	995.4	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.10	CA	CA01	22	21	2019-02-26	1095.2	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.11	CA	CA01	22	21	2019-02-26	1100	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.12	CA	CA01	22	21	2019-02-26	1045.4	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.13	CA	CA01	35	35	2019-03-11	2766.4	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.14	CA	CA01	35	35	2019-03-11	2729.2	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.15	CA	CA01	36	35	2019-03-12	2519.8	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.16	CA	CA01	36	35	2019-03-12	2350.4	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.17	CA	CA01	37	35	2019-03-13	2749.6	FALSE	FALSE	FALSE	control	Male	Cobb
CA01.18	CA	CA01	37	35	2019-03-13	2844.8	FALSE	FALSE	FALSE	control	Male	Cobb
CA02.01	CA	CA02	7	7	2019-02-11	136	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.02	CA	CA02	7	7	2019-02-11	183.2	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.03	CA	CA02	7	7	2019-02-11	156.6	NA	NA	NA	probiotic	Female	Ross
CA02.04	CA	CA02	8	7	2019-02-12	239.6	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.05	CA	CA02	8	7	2019-02-12	216	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.06	CA	CA02	8	7	2019-02-12	226.2	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.07	CA	CA02	21	21	2019-02-25	723	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.08	CA	CA02	21	21	2019-02-25	695.2	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.09	CA	CA02	21	21	2019-02-25	898.6	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.10	CA	CA02	22	21	2019-02-26	891.6	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.11	CA	CA02	22	21	2019-02-26	883.2	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.12	CA	CA02	22	21	2019-02-26	998.2	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.13	CA	CA02	35	35	2019-03-11	2191.6	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.14	CA	CA02	35	35	2019-03-11	2221.8	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.15	CA	CA02	36	35	2019-03-12	2366.8	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.16	CA	CA02	36	35	2019-03-12	2204.4	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.17	CA	CA02	37	35	2019-03-13	2009.2	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA02.18	CA	CA02	37	35	2019-03-13	2431.6	FALSE	FALSE	FALSE	probiotic	Female	Ross
CA03.01	CA	CA03	7	7	2019-02-11	166.8	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA03.02	CA	CA03	7	7	2019-02-11	192.8	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA03.03	CA	CA03	7	7	2019-02-11	157.4	NA	NA	NA	probiotic	Female	Cobb
CA03.04	CA	CA03	8	7	2019-02-12	243.8	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA03.05	CA	CA03	8	7	2019-02-12	210.8	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA03.06	CA	CA03	8	7	2019-02-12	201.4	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA03.07	CA	CA03	21	21	2019-02-25	920.2	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA03.08	CA	CA03	21	21	2019-02-25	964.4	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA03.09	CA	CA03	21	21	2019-02-25	1018	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA03.10	CA	CA03	22	21	2019-02-26	1082	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA03.11	CA	CA03	22	21	2019-02-26	930.2	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA03.12	CA	CA03	22	21	2019-02-26	1049.4	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA03.13	CA	CA03	35	35	2019-03-11	1966.6	FALSE	FALSE	FALSE	probiotic	Female	Cobb
CA03.14	CA	CA03	35	35	2019-03-11	2164	FALSE	FALSE	FALSE	probiotic	Female	Cobb
