mag_id	mag_name
ERR4301269bin_7	cmag_001
ERR4303136bin_34	cmag_002
ERR4303137bin_12	cmag_003
ERR4303137bin_30	cmag_004
ERR4303137bin_34	cmag_005
ERR4303137bin_35	cmag_006
ERR4303138bin_28	cmag_007
ERR4303138bin_37	cmag_008
ERR4303139bin_27	cmag_009
ERR4303140bin_1	cmag_010
ERR4303147bin_12	cmag_011
ERR4303147bin_39	cmag_012
ERR4303147bin_44	cmag_013
ERR4303147bin_48	cmag_014
ERR4303147bin_52	cmag_015
ERR4303147bin_54	cmag_016
ERR4303148bin_1	cmag_017
ERR4303148bin_29	cmag_018
ERR4303149bin_21	cmag_019
ERR4303149bin_27	cmag_020
ERR4303149bin_29	cmag_021
ERR4303149bin_36	cmag_022
ERR4303150bin_25	cmag_023
ERR4303150bin_41	cmag_024
ERR4303150bin_6	cmag_025
ERR4303150bin_7	cmag_026
ERR4303151bin_10	cmag_027
ERR4303151bin_35	cmag_028
ERR4303151bin_51	cmag_029
ERR4303151bin_6	cmag_030
ERR4303152bin_33	cmag_031
ERR4303152bin_5	cmag_032
ERR4303152bin_6	cmag_033
ERR4303154bin_23	cmag_034
ERR4303154bin_29	cmag_035
ERR4303154bin_32	cmag_036
ERR4303154bin_33	cmag_037
ERR4303154bin_37	cmag_038
ERR4303154bin_7	cmag_039
ERR4303155bin_13	cmag_040
ERR4303155bin_51	cmag_041
ERR4303155bin_7	cmag_042
ERR4303155bin_77	cmag_043
ERR4303156bin_11	cmag_044
ERR4303156bin_12	cmag_045
ERR4303156bin_23	cmag_046
ERR4303156bin_5	cmag_047
ERR4303157bin_17	cmag_048
ERR4303157bin_8	cmag_049
ERR4303158bin_17	cmag_050
ERR4303158bin_24	cmag_051
ERR4303158bin_27	cmag_052
ERR4303158bin_38	cmag_053
ERR4303158bin_59	cmag_054
ERR4303158bin_61	cmag_055
ERR4303159bin_34	cmag_056
ERR4303161bin_16	cmag_057
ERR4303161bin_27	cmag_058
ERR4303161bin_36	cmag_059
ERR4303161bin_39	cmag_060
