mag_id	domain	phylum	class	order	family	genus	species
cmag_001	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	RUG14156		
cmag_002	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus sp900547455
cmag_003	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	UMGS1781	
cmag_004	Bacteria	Firmicutes	Bacilli	RF39	UBA660	HGM10873	
cmag_005	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UMGS2069	UMGS2069 sp900557695
cmag_006	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	
cmag_007	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae		
cmag_008	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	CAG-831	
cmag_009	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA1417	UBA1417 sp900552925
cmag_010	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	ASF356	
cmag_011	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-451	
cmag_012	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	CAG-274		
cmag_013	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-594	
cmag_014	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA4626	
cmag_015	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242		
cmag_016	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	
cmag_017	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
cmag_018	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-465	CAG-465	
cmag_019	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-314	CAG-1435	CAG-1435 sp000433775
cmag_020	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp002160915
cmag_021	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_E	
cmag_022	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	
cmag_023	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	Butyricicoccus pullicaecorum
cmag_024	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter sp900751785
cmag_025	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus mirabilis
cmag_026	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D gallinarum
cmag_027	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-314	CAG-314	CAG-314 sp000437915
cmag_028	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp900021155
cmag_029	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UMGS687	
