MAG	Function	sampling_time	enterotype	mean_value
ERR4301269bin.7	B03	7	distinct	0.48288415262230944
ERR4301269bin.7	B03	7	standard	0.5583495133020462
ERR4301269bin.7	B03	21	distinct	8.107956651581448
ERR4301269bin.7	B03	21	standard	0.032907134271596035
ERR4301269bin.7	B03	35	distinct	28.859694886278184
ERR4301269bin.7	B03	35	standard	16.039036942671732
ERR4301269bin.7	B06	7	distinct	0.6758456489795897
ERR4301269bin.7	B06	7	standard	0.8311068904707921
ERR4301269bin.7	B06	21	distinct	12.864561093913428
ERR4301269bin.7	B06	21	standard	0.031817713986478424
ERR4301269bin.7	B06	35	distinct	32.413197739804986
ERR4301269bin.7	B06	35	standard	25.313072533901597
ERR4301269bin.7	D01	7	distinct	0
ERR4301269bin.7	D01	7	standard	0
ERR4301269bin.7	D01	21	distinct	0
ERR4301269bin.7	D01	21	standard	0
ERR4301269bin.7	D01	35	distinct	0
ERR4301269bin.7	D01	35	standard	0
ERR4301269bin.7	D06	7	distinct	0.03591956770706647
ERR4301269bin.7	D06	7	standard	0.13540189762956112
ERR4301269bin.7	D06	21	distinct	2.042719122193102
ERR4301269bin.7	D06	21	standard	0
ERR4301269bin.7	D06	35	distinct	6.57209255109941
ERR4301269bin.7	D06	35	standard	3.60413145538427
ERR4303136bin.34	B03	7	distinct	5.123728509129503
ERR4303136bin.34	B03	7	standard	13.113798319630225
ERR4303136bin.34	B03	21	distinct	4.675444330283503
ERR4303136bin.34	B03	21	standard	13.46328512302576
ERR4303136bin.34	B03	35	distinct	1.3016605165789352
ERR4303136bin.34	B03	35	standard	10.401178891236047
ERR4303136bin.34	B06	7	distinct	8.09371184042624
ERR4303136bin.34	B06	7	standard	27.907240099006586
ERR4303136bin.34	B06	21	distinct	10.93447735932169
ERR4303136bin.34	B06	21	standard	34.2693129026304
ERR4303136bin.34	B06	35	distinct	6.154151591038869
ERR4303136bin.34	B06	35	standard	31.09717939273178
ERR4303136bin.34	D01	7	distinct	1.7573444169124193
ERR4303136bin.34	D01	7	standard	4.908592210028261
ERR4303136bin.34	D01	21	distinct	1.1474140562725776
ERR4303136bin.34	D01	21	standard	5.611301198812516
ERR4303136bin.34	D01	35	distinct	0.9553027192800085
ERR4303136bin.34	D01	35	standard	3.552274767634426
ERR4303136bin.34	D06	7	distinct	3.1248728857117922
ERR4303136bin.34	D06	7	standard	15.168023976422424
ERR4303136bin.34	D06	21	distinct	3.1659782528095466
ERR4303136bin.34	D06	21	standard	9.246757090963621
ERR4303136bin.34	D06	35	distinct	2.0286840860023667
ERR4303136bin.34	D06	35	standard	7.710939821882745
ERR4303137bin.12	B03	7	distinct	0
ERR4303137bin.12	B03	7	standard	0
ERR4303137bin.12	B03	21	distinct	0
ERR4303137bin.12	B03	21	standard	0
ERR4303137bin.12	B03	35	distinct	0.011977607604202578
ERR4303137bin.12	B03	35	standard	0.0279716434504958
ERR4303137bin.12	B06	7	distinct	0
ERR4303137bin.12	B06	7	standard	0.002280144678672415
ERR4303137bin.12	B06	21	distinct	0
ERR4303137bin.12	B06	21	standard	0
ERR4303137bin.12	B06	35	distinct	0.03316004909532991
ERR4303137bin.12	B06	35	standard	0.08575684589874603
ERR4303137bin.12	D01	7	distinct	0
ERR4303137bin.12	D01	7	standard	0
ERR4303137bin.12	D01	21	distinct	0
ERR4303137bin.12	D01	21	standard	0
ERR4303137bin.12	D01	35	distinct	0
ERR4303137bin.12	D01	35	standard	0
ERR4303137bin.12	D06	7	distinct	0
ERR4303137bin.12	D06	7	standard	0
ERR4303137bin.12	D06	21	distinct	0
ERR4303137bin.12	D06	21	standard	0
ERR4303137bin.12	D06	35	distinct	0
ERR4303137bin.12	D06	35	standard	0
ERR4303137bin.30	B03	7	distinct	0
ERR4303137bin.30	B03	7	standard	0.02080415102297963
ERR4303137bin.30	B03	21	distinct	0
