animal_code	tissue	sequencing_batch
CA01.03	E1a	1
CA01.09	E1a	1
CA01.10	E1a	3
CA01.15	E1a	0
CA02.15	E1a	0
CA03.14	E1a	3
CA04.01	E1a	1
CA04.03	E1a	3
CA04.12	E1a	1
CA04.14	E1a	0
CA05.03	E1a	0
CA05.08	E1a	3
CA06.02	E1a	0
CA06.05	E1a	3
CA06.13	E1a	3
CA06.15	E1a	3
CA07.02	E1a	1
CA07.09	E1a	0
CA07.13	E1a	1
CA08.08	E1a	3
CA08.16	E1a	3
CA09.01	E1a	0
CA09.05	E1a	3
CA09.08	E1a	1
CA09.12	E1a	3
CA10.03	E1a	1
CA10.10	E1a	0
CA10.16	E1a	1
CA11.02	E1a	1
CA11.08	E1a	0
CA11.18	E1a	0
CA12.14	E1a	3
CA13.06	E1a	2
CA14.05	E1a	3
CA14.09	E1a	0
CA14.15	E1a	1
CA15.01	E1a	1
CA15.03	E1a	3
CA15.15	E1a	3
CA15.17	E1a	1
CA16.02	E1a	1
CA16.07	E1a	3
CA16.13	E1a	1
CA17.03	E1a	1
CA17.09	E1a	3
CA17.12	E1a	1
CA17.15	E1a	3
CA18.08	E1a	1
CA18.13	E1a	3
CA19.01	E1a	0
CA19.15	E1a	1
CA19.18	E1a	3
CA20.08	E1a	3
CA20.09	E1a	1
CA20.13	E1a	1
CA21.01	E1a	2
CA21.02	E1a	2
CA21.09	E1a	3
CA21.15	E1a	0
CA23.02	E1a	2
CA23.15	E1a	1
CA24.09	E1a	1
CA24.16	E1a	1
CB01.05	E1a	3
CB01.09	E1a	1
CB01.15	E1a	3
CB02.03	E1a	3
CB02.09	E1a	1
CB02.14	E1a	1
CB03.02	E1a	2
CB03.13	E1a	1
CB03.16	E1a	3
CB04.03	E1a	1
CB05.02	E1a	3
CB05.03	E1a	1
CB05.09	E1a	1
CB05.15	E1a	1
CB06.02	E1a	2
CB06.16	E1a	1
CB07.01	E1a	1
CB07.06	E1a	3
CB07.09	E1a	3
CB07.16	E1a	3
CB08.04	E1a	3
CB08.08	E1a	3
CB08.12	E1a	3
CB09.02	E1a	1
CB09.12	E1a	1
CB10.09	E1a	1
CB10.16	E1a	3
CB10.17	E1a	1
CB11.04	E1a	3
CB11.07	E1a	3
CB11.08	E1a	1
CB11.15	E1a	1
CB11.18	E1a	3
CB12.09	E1a	1
CB12.12	E1a	3
CB12.18	E1a	1
CB13.04	E1a	2
CB13.12	E1a	3
CB14.02	E1a	1
CB14.12	E1a	3
CB15.07	E1a	1
CB16.02	E1a	3
CB16.03	E1a	1
CB16.07	E1a	3
CB16.17	E1a	3
CB17.07	E1a	3
CB18.03	E1a	1
CB18.10	E1a	3
CB18.14	E1a	1
CB19.03	E1a	3
CB19.14	E1a	1
CB20.02	E1a	2
CB20.03	E1a	3
CB20.07	E1a	1
CB20.13	E1a	1
CB21.03	E1a	1
CB21.11	E1a	1
CB21.13	E1a	1
CB22.08	E1a	1
CB22.15	E1a	1
CB23.10	E1a	1
CB23.14	E1a	2
CB24.15	E1a	1
CC01.06	E1a	1
CC01.09	E1a	1
CC01.10	E1a	2
CC01.11	E1a	2
CC01.17	E1a	1
CC02.06	E1a	2
CC02.09	E1a	1
CC02.16	E1a	2
CC02.17	E1a	1
CC03.02	E1a	2
CC03.07	E1a	1
CC03.15	E1a	1
CC04.06	E1a	1
CC04.08	E1a	2
CC04.09	E1a	2
CC04.10	E1a	1
CC04.16	E1a	2
CC05.03	E1a	2
CC05.04	E1a	2
CC05.07	E1a	1
CC05.12	E1a	3
CC05.15	E1a	0
CC06.05	E1a	2
CC06.09	E1a	1
CC06.13	E1a	1
CC06.17	E1a	2
CC07.04	E1a	2
CC07.07	E1a	2
CC07.14	E1a	1
CC08.02	E1a	3
CC08.05	E1a	3
CC08.06	E1a	2
CC08.12	E1a	0
CC08.13	E1a	0
CC09.04	E1a	1
CC09.10	E1a	2
CC09.12	E1a	0
CC09.16	E1a	2
CC10.06	E1a	1
CC10.10	E1a	1
CC10.14	E1a	2
CC10.16	E1a	0
CC11.02	E1a	1
CC11.11	E1a	2
CC11.18	E1a	2
CC12.01	E1a	1
CC12.06	E1a	3
CC12.09	E1a	2
CC12.10	E1a	2
CC12.14	E1a	2
CC12.16	E1a	0
CC13.04	E1a	0
CC13.11	E1a	2
CC13.14	E1a	1
CC13.17	E1a	3
CC14.03	E1a	2
CC14.05	E1a	1
CC14.10	E1a	1
CC14.15	E1a	1
CC15.08	E1a	1
CC15.16	E1a	2
CC16.01	E1a	1
CC16.05	E1a	2
CC16.07	E1a	1
CC16.10	E1a	2
CC16.14	E1a	0
CC17.05	E1a	0
CC17.07	E1a	0
CC17.11	E1a	2
CC17.13	E1a	1
CC18.06	E1a	1
CC18.07	E1a	0
CC18.11	E1a	3
CC18.17	E1a	1
CC19.05	E1a	0
CC19.17	E1a	1
CC20.12	E1a	1
CC20.13	E1a	0
CC21.05	E1a	0
CC21.08	E1a	3
CC21.10	E1a	1
CC21.16	E1a	1
CC22.06	E1a	1
CC22.17	E1a	2
CC23.02	E1a	0
CC23.07	E1a	1
CC23.13	E1a	2
CC23.17	E1a	1
CC24.03	E1a	1
CC24.07	E1a	0
CC24.14	E1a	1
CA01.03	B1a	1
CA01.09	B1a	1
CA04.01	B1a	1
CA04.12	B1a	1
CA07.02	B1a	1
CA07.13	B1a	1
CA09.08	B1a	1
CA10.03	B1a	1
CA10.16	B1a	1
CA11.02	B1a	1
CA14.15	B1a	1
CA15.01	B1a	1
CA15.17	B1a	1
CA16.02	B1a	1
CA16.13	B1a	1
CA17.03	B1a	1
CA17.12	B1a	1
CA18.08	B1a	1
CA19.15	B1a	1
CA20.09	B1a	1
CA20.13	B1a	1
CA23.15	B1a	1
CA24.09	B1a	1
CA24.16	B1a	1
CB01.09	B1a	1
CB02.09	B1a	1
CB02.14	B1a	1
CB03.13	B1a	1
CB04.03	B1a	1
CB05.03	B1a	1
CB05.09	B1a	1
CB05.15	B1a	1
CB06.16	B1a	1
CB07.01	B1a	1
CB09.02	B1a	1
CB09.12	B1a	1
CB10.09	B1a	1
CB10.17	B1a	1
CB11.08	B1a	1
CB11.15	B1a	1
CB12.09	B1a	1
CB12.18	B1a	1
CB14.02	B1a	1
CB15.07	B1a	1
CB16.03	B1a	1
CB18.03	B1a	1
CB18.14	B1a	1
CB19.14	B1a	1
CB20.07	B1a	1
CB20.13	B1a	1
CB21.03	B1a	1
CB21.11	B1a	1
CB21.13	B1a	1
CB22.08	B1a	1
CB22.15	B1a	1
CB23.10	B1a	1
CB24.15	B1a	1
CC01.06	B1a	1
CC01.09	B1a	1
CC01.17	B1a	1
CC02.09	B1a	1
CC02.17	B1a	1
CC03.07	B1a	1
CC03.15	B1a	1
CC04.06	B1a	1
CC04.10	B1a	1
CC05.07	B1a	1
CC06.09	B1a	1
CC06.13	B1a	1
CC07.05	B1a	1
CC07.14	B1a	1
CC09.04	B1a	1
CC10.06	B1a	1
CC10.10	B1a	1
CC11.02	B1a	1
CC12.01	B1a	1
CC13.14	B1a	1
CC14.05	B1a	1
CC14.10	B1a	1
CC14.15	B1a	1
CC15.08	B1a	1
CC16.01	B1a	1
CC16.07	B1a	1
CC17.13	B1a	1
CC18.06	B1a	1
CC18.17	B1a	1
CC19.17	B1a	1
CC20.12	B1a	1
CC21.10	B1a	1
CC22.06	B1a	1
CC23.07	B1a	1
CC23.17	B1a	1
CC24.03	B1a	1
CC24.14	B1a	1
CA13.06	B1a	2
CA14.02	B1a	2
CA21.01	B1a	2
CB07.14	B1a	2
CB13.04	B1a	2
CB14.10	B1a	2
CB15.04	B1a	2
CB18.09	B1a	2
CB20.02	B1a	2
CC01.10	B1a	2
CC02.06	B1a	2
CC04.08	B1a	2
CC04.09	B1a	2
CC04.16	B1a	2
CC06.17	B1a	2
CC09.10	B1a	2
CC09.16	B1a	2
CC10.14	B1a	2
CC12.10	B1a	2
CC12.14	B1a	2
CC13.10	B1a	2
CC13.11	B1a	2
CC15.16	B1a	2
CC17.03	B1a	2
CC17.11	B1a	2
CC18.12	B1a	2
CC21.07	B1a	2
CC22.17	B1a	2
CC23.13	B1a	2
CA01.10	B1a	3
CA03.14	B1a	3
CA04.03	B1a	3
CA05.08	B1a	3
