animal_code	trial	pen	age	sampling_time	sampling_date	chicken_body_weight	has_salmonella	has_clostridium	has_campylobacter	treatment	sex	breed	enterotype	dmm
CA01.01	CA	CA01	7	7	2019-02-11	146	FALSE	FALSE	FALSE	control	Male	Cobb	standard	1
CA01.03	CA	CA01	7	7	2019-02-11	176	FALSE	FALSE	FALSE	control	Male	Cobb	standard	1
CA01.06	CA	CA01	8	7	2019-02-12	239.4	FALSE	FALSE	FALSE	control	Male	Cobb	standard	1
CA02.01	CA	CA02	7	7	2019-02-11	136	FALSE	FALSE	FALSE	probiotic	Female	Ross	standard	1
CA02.04	CA	CA02	8	7	2019-02-12	239.6	FALSE	FALSE	FALSE	probiotic	Female	Ross	standard	1
CA03.01	CA	CA03	7	7	2019-02-11	166.8	FALSE	FALSE	FALSE	probiotic	Female	Cobb	standard	1
CA03.03	CA	CA03	7	7	2019-02-11	157.4	NA	NA	NA	probiotic	Female	Cobb	standard	1
CA03.04	CA	CA03	8	7	2019-02-12	243.8	FALSE	FALSE	FALSE	probiotic	Female	Cobb	standard	1
CA04.01	CA	CA04	7	7	2019-02-11	170.8	FALSE	FALSE	FALSE	control	Female	Cobb	standard	1
CA04.03	CA	CA04	7	7	2019-02-11	163.4	FALSE	FALSE	FALSE	control	Female	Cobb	standard	1
CA04.04	CA	CA04	8	7	2019-02-12	219.4	FALSE	FALSE	FALSE	control	Female	Cobb	standard	1
CA05.03	CA	CA05	7	7	2019-02-11	156.8	FALSE	FALSE	FALSE	phytobiotic	Female	Ross	standard	1
CA05.05	CA	CA05	8	7	2019-02-12	177.8	FALSE	FALSE	FALSE	phytobiotic	Female	Ross	standard	1
CA05.06	CA	CA05	8	7	2019-02-12	213.6	FALSE	FALSE	FALSE	phytobiotic	Female	Ross	standard	1
CA06.01	CA	CA06	7	7	2019-02-11	160.4	FALSE	FALSE	FALSE	probiotic	Male	Cobb	standard	1
CA06.02	CA	CA06	7	7	2019-02-11	167	NA	NA	NA	probiotic	Male	Cobb	standard	1
CA06.05	CA	CA06	8	7	2019-02-12	219.8	FALSE	FALSE	FALSE	probiotic	Male	Cobb	standard	1
CA07.02	CA	CA07	7	7	2019-02-11	168.2	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb	standard	1
CA07.04	CA	CA07	8	7	2019-02-12	236.6	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb	standard	1
CA08.01	CA	CA08	7	7	2019-02-11	171	FALSE	FALSE	FALSE	probiotic	Male	Ross	standard	1
CA08.03	CA	CA08	7	7	2019-02-11	121.8	NA	NA	NA	probiotic	Male	Ross	standard	1
CA08.06	CA	CA08	8	7	2019-02-12	224	FALSE	FALSE	FALSE	probiotic	Male	Ross	standard	1
CA09.01	CA	CA09	7	7	2019-02-11	156	NA	NA	NA	phytobiotic	Female	Cobb	standard	1
CA09.05	CA	CA09	8	7	2019-02-12	225.4	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb	standard	1
CA09.06	CA	CA09	8	7	2019-02-12	146.2	FALSE	FALSE	FALSE	phytobiotic	Female	Cobb	standard	1
CA10.03	CA	CA10	7	7	2019-02-11	160.2	NA	NA	NA	control	Female	Ross	standard	1
CA10.06	CA	CA10	8	7	2019-02-12	217.8	FALSE	FALSE	FALSE	control	Female	Ross	standard	1
CA11.01	CA	CA11	7	7	2019-02-11	185.2	NA	NA	NA	control	Male	Ross	standard	1
CA11.02	CA	CA11	7	7	2019-02-11	171	NA	NA	NA	control	Male	Ross	standard	1
CA11.06	CA	CA11	8	7	2019-02-12	198	FALSE	FALSE	FALSE	control	Male	Ross	standard	1
CA12.01	CA	CA12	7	7	2019-02-11	179.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CA12.03	CA	CA12	7	7	2019-02-11	162.4	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CA12.05	CA	CA12	8	7	2019-02-12	215.6	FALSE	FALSE	FALSE	phytobiotic	Male	Ross	standard	1
CA13.01	CA	CA13	7	7	2019-02-11	172.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb	standard	1
CA13.03	CA	CA13	8	7	2019-02-12	218.4	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb	standard	1
CA13.04	CA	CA13	8	7	2019-02-12	207.8	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb	standard	1
CA13.06	CA	CA13	7	7	2019-02-11	166.8	FALSE	FALSE	FALSE	phytobiotic	Male	Cobb	standard	1
CA14.02	CA	CA14	7	7	2019-02-11	160	FALSE	FALSE	FALSE	control	Female	Ross	standard	1
CA14.03	CA	CA14	8	7	2019-02-12	169.2	NA	NA	NA	control	Female	Ross	standard	1
CA14.05	CA	CA14	8	7	2019-02-12	205.6	FALSE	FALSE	FALSE	control	Female	Ross	standard	1
CA14.06	CA	CA14	7	7	2019-02-11	188.4	FALSE	FALSE	FALSE	control	Female	Ross	standard	1
