gene_name	gene_id	cgnc	mirbase
gene-LOC112532827	112532827	NA	NA
gene-LOC107049475	107049475	72493	NA
gene-CLC2DL5	776458	57973	NA
gene-LOC112532835	112532835	NA	NA
gene-CLC2DL2	776463	57978	NA
gene-CLC2DL4	100857569	65459	NA
gene-LOC112531646	112531646	NA	NA
gene-LOC112531610	112531610	NA	NA
gene-LOC112532873	112532873	NA	NA
gene-DHRS4	426247	52723	NA
gene-CARMIL3	101749117	68591	NA
gene-RNF212B	770305	55930	NA
gene-LOC107049418	107049418	72437	NA
gene-LOC101749441	101749441	68911	NA
gene-LOC107049791	107049791	72807	NA
gene-LOC107055491	107055491	78447	NA
gene-LOC107053477	107053477	76469	NA
gene-LOC107049847	107049847	72863	NA
gene-LOC770705	770705	56222	NA
gene-LOC101747821	101747821	67314	NA
gene-CD69L	417816	50599	NA
gene-LOC107055489	107055489	78445	NA
gene-LOC112532874	112532874	NA	NA
gene-LOC112532969	112532969	NA	NA
gene-LOC112532872	112532872	NA	NA
gene-CLC2DL3	425783	52572	NA
gene-LOC430443	430443	53939	NA
gene-GOLGB1	426868	7433	NA
gene-HCLS1	426867	7430	NA
gene-OR9Q1	431295	7428	NA
gene-NME6	426866	7425	NA
gene-RABL2L	426865	52914	NA
gene-ACR	426864	16917	NA
gene-ARSA	426863	7409	NA
gene-ACRL	769176	55044	NA
gene-SHANK3	101748950	68428	NA
gene-MIR6708	102465417	71845	MI0022530
gene-MIR1604	100315910	60770	MI0007331
gene-LOC112532875	112532875	NA	NA
gene-LOC112532876	112532876	NA	NA
gene-LOC107050884	107050884	73895	NA
gene-LOC112532971	112532971	NA	NA
gene-LOC112532974	112532974	NA	NA
gene-LOC112532979	112532979	NA	NA
gene-TRNAP-AGG	112531671	NA	NA
gene-OPN1SW	396419	49793	NA
gene-FLNC	395260	49234	NA
gene-LOC107050717	107050717	73731	NA
gene-LOC112532987	112532987	NA	NA
gene-LOC112529922	112529922	NA	NA
gene-LOC112532885	112532885	NA	NA
gene-LOC112532889	112532889	NA	NA
gene-LOC112533143	112533143	NA	NA
gene-DPF2	374236	49095	NA
gene-LOC107049971	107049971	72987	NA
gene-LOC107050086	107050086	73101	NA
gene-LOC107050254	107050254	73269	NA
gene-LOC112532890	112532890	NA	NA
gene-PAX4	107054978	77943	NA
gene-LOC112532888	112532888	NA	NA
gene-ARF5	396265	49726	NA
gene-GCC1	430581	10143	NA
gene-DENND6B	426252	10312	NA
gene-PPP6R2	430580	10141	NA
gene-MIR1651	100315880	60740	MI0007383
gene-LOC112532882	112532882	NA	NA
gene-LOC112532881	112532881	NA	NA
gene-LOC112532883	112532883	NA	NA
gene-SBF1	417071	9447	NA
gene-ADM2	112532887	NA	NA
gene-MIOX	107052518	75521	NA
gene-LMF2	429380	53638	NA
gene-NCAPH2	426276	10337	NA
gene-SCO2	429671	66581	NA
gene-IRF5	430409	53929	NA
gene-TNPO3	426277	10345	NA
gene-LOC112532892	112532892	NA	NA
gene-SMO	395949	5983	NA
gene-AHCYL2	416675	50318	NA
gene-STRIP2	416676	66264	NA
gene-LOC107053537	107053537	76529	NA
gene-SMKR1	768819	54778	NA
gene-NRF1	416677	6034	NA
gene-MIR183	777882	59166	MI0001278
gene-UBE2H	416678	6039	NA
gene-ZC3HC1	416679	6057	NA
gene-MIR6676	102465396	71824	MI0022496
gene-KLHDC10	427683	53164	NA
gene-MIR6629	102465367	71795	MI0022448
gene-LOC100859230	100859230	63900	NA
gene-TMEM209	416681	50319	NA
gene-CPA2	416682	50320	NA
gene-CPA5	416683	50321	NA
gene-CPA1	395276	49239	NA
gene-CEP41	416684	6138	NA
gene-MEST	427684	6146	NA
gene-COPG2	416685	50322	NA
gene-IL15RA	416686	50323	NA
gene-FBXO18	416687	6188	NA
gene-ANKRD16	416688	6194	NA
gene-GDI2	395854	49512	NA
gene-FAM208B	416689	50324	NA
gene-LOC107053421	107053421	76413	NA
gene-ASB13	416691	6365	NA
gene-CALML3	416692	50326	NA
gene-NET1	416693	6397	NA
gene-LOC101748925	101748925	68403	NA
gene-TUBAL3	416694	50327	NA
gene-LOC416695	416695	50328	NA
gene-UCN3	769274	16844	NA
gene-COL7A1L	416696	50329	NA
gene-MIR205B	777842	59127	MI0001238
gene-SLC35B4	416698	6418	NA
gene-LRGUK	416699	66265	NA
gene-EXOC4	416700	6429	NA
gene-LOC101750035	101750035	69491	NA
gene-LOC107055493	107055493	78449	NA
gene-LOC101747803	101747803	67296	NA
gene-LOC107053233	107053233	76227	NA
gene-LOC112532918	112532918	NA	NA
gene-LOC107055494	107055494	78450	NA
gene-LOC100858111	100858111	64963	NA
gene-LOC101749355	101749355	68827	NA
gene-MIR6659	102466183	71909	MI0022479
gene-LOC107053701	107053701	76689	NA
gene-LOC112532931	112532931	NA	NA
gene-CHCHD3	418435	4892	NA
gene-LOC101750196	101750196	69651	NA
gene-LOC107054205	107054205	77187	NA
gene-LOC101748467	101748467	67950	NA
gene-LOC107054228	107054228	77210	NA
gene-LOC107054320	107054320	77298	NA
gene-LOC107054192	107054192	77175	NA
gene-PLXNA4	427941	4879	NA
gene-MIR6621	102465970	71894	MI0022441
gene-LOC101750753	101750753	70195	NA
gene-LOC107054375	107054375	77353	NA
gene-LOC107054362	107054362	77340	NA
gene-LOC101752068	101752068	71477	NA
gene-PODXL	395755	49459	NA
gene-MKLN1	418250	4784	NA
gene-LOC101750931	101750931	70368	NA
gene-LOC107055713	107055713	78668	NA
gene-MIR29B1	777795	59080	MI0001167
gene-MIR29A	777794	59079	MI0001166
gene-K123	395873	49525	NA
gene-IL2RA	395294	4764	NA
gene-RBM17	418248	4762	NA
gene-PFKFB3	418247	4755	NA
gene-LOC112532968	112532968	NA	NA
gene-LOC107053972	107053972	76957	NA
gene-PRKCQ	776459	57974	NA
gene-SFMBT2	425485	7051	NA
gene-LOC419112	419112	66335	NA
gene-ITIH5	419111	5201	NA
gene-ITIH2	419110	5157	NA
gene-KIN	419109	5108	NA
gene-ATP5C1	419108	5096	NA
gene-TAF3	419107	5084	NA
gene-LOC107054553	107054553	77527	NA
gene-GATA3	419106	5080	NA
gene-LOC112532970	112532970	NA	NA
gene-LOC107054641	107054641	77614	NA
gene-LOC107054627	107054627	77600	NA
gene-LOC107054620	107054620	77593	NA
gene-LOC112532972	112532972	NA	NA
gene-LOC107054917	107054917	77885	NA
gene-LOC100859811	100859811	63343	NA
gene-MIR1626	100316021	60880	MI0007355
gene-CELF2	374111	49047	NA
gene-MIR1596	100316008	60867	MI0007323
gene-USP6NL	419104	50919	NA
gene-ECHDC3	419098	5051	NA
gene-PROSER2	419101	5059	NA
gene-UPF2	419100	5054	NA
gene-DHTKD1	426076	2685	NA
gene-SEC61A2	426369	10485	NA
gene-NUDT5	426368	52764	NA
gene-CDC123	426366	10487	NA
gene-LOC112532973	112532973	NA	NA
gene-CAMK1D	425522	52484	NA
gene-CCDC3	769832	13134	NA
gene-OPTN	374079	10284	NA
gene-MCM10	429525	53688	NA
gene-PHYH	426601	10813	NA
gene-SEPHS1	426612	10819	NA
gene-BEND7	419037	5047	NA
gene-PRPF18	419036	5036	NA
gene-FRMD4A	419035	50902	NA
gene-MIR1460	100315704	60564	MI0007065
gene-FAM107B	426376	10491	NA
gene-LOC112532975	112532975	NA	NA
gene-HSPA14	418802	5014	NA
gene-SUV39H2	426314	52742	NA
gene-DCLRE1C	430764	10415	NA
gene-MEIG1	769589	55376	NA
gene-TMEM243	418647	5004	NA
gene-DMTF1	418646	50816	NA
gene-KIAA1324L	418645	4983	NA
gene-GRM3	418644	4960	NA
gene-LOC112532768	112532768	NA	NA
gene-SEMA3D	396332	4949	NA
gene-LOC112532981	112532981	NA	NA
gene-SEMA3A	395825	4946	NA
gene-SEMA3E	374089	6454	NA
gene-PCLO	395319	49263	NA
gene-LOC107055502	107055502	78458	NA
gene-LOC107055432	107055432	78388	NA
gene-CACNA2D1	768444	6436	NA
gene-LOC112532984	112532984	NA	NA
gene-LOC112532985	112532985	NA	NA
gene-LOC112532986	112532986	NA	NA
gene-LOC107057089	107057089	80039	NA
gene-HGF	395941	49562	NA
gene-LOC112532771	112532771	NA	NA
gene-SEMA3C	374090	49039	NA
gene-CD36	417730	6399	NA
gene-GNAT3	427851	6387	NA
gene-GNAI1	396368	49774	NA
gene-MAGI2	417729	6330	NA
gene-PHTF2	417728	50581	NA
gene-TMEM60	417727	6313	NA
gene-RSBN1L	768780	6312	NA
gene-LOC107051624	107051624	74632	NA
gene-PTPN12	417725	6308	NA
gene-LOC112532992	112532992	NA	NA
gene-LOC107051625	107051625	74633	NA
gene-GSAP	417724	50579	NA
gene-CCDC146	417723	50578	NA
gene-LOC107051626	107051626	74634	NA
gene-FGL2	768821	6295	NA
gene-FAM185A	417722	50577	NA
gene-FBXL13	417721	6287	NA
gene-LRRC17	395440	6289	NA
gene-ARMC10	417720	50576	NA
gene-NAPEPLD	417719	50575	NA
gene-PMPCB	417718	6273	NA
gene-DNAJC2	417717	6249	NA
gene-PSMC2	417716	6240	NA
gene-SLC26A5	417715	6231	NA
gene-LOC112533002	112533002	NA	NA
gene-RELN	427850	6211	NA
gene-ORC5	417714	6200	NA
gene-TRNAG-CCC	112531672	NA	NA
gene-LHFPL3	100858127	64947	NA
gene-LOC107051628	107051628	74636	NA
gene-KMT2E	417712	6193	NA
gene-SRPK2	417711	6182	NA
